"Date","Price","Open","High","Low","Vol.","Change %"
"07/06/2023","8.00","8.15","8.16","8.00","2.12M","-0.99%"
"07/05/2023","8.08","8.14","8.22","8.05","3.15M","0.00%"
"07/04/2023","8.08","8.16","8.25","8.05","2.49M","-0.49%"
"06/26/2023","8.12","8.08","8.13","8.06","2.51M","0.62%"
"06/25/2023","8.07","8.19","8.26","8.06","2.72M","-0.98%"
"06/22/2023","8.15","8.17","8.20","8.05","3.31M","0.00%"
"06/21/2023","8.15","8.33","8.35","8.15","2.44M","-1.81%"
"06/20/2023","8.30","8.33","8.38","8.29","3.01M","-0.12%"
"06/19/2023","8.31","8.43","8.44","8.28","3.42M","-1.07%"
"06/18/2023","8.40","8.37","8.40","8.29","2.79M","1.20%"
"06/15/2023","8.30","8.45","8.46","8.30","2.59M","-1.54%"
"06/14/2023","8.43","8.57","8.62","8.40","3.73M","-1.29%"
"06/13/2023","8.54","8.53","8.71","8.51","5.83M","0.23%"
"06/12/2023","8.52","8.53","8.64","8.46","2.45M","0.47%"
"06/11/2023","8.48","8.35","8.55","8.35","6.08M","2.17%"
"06/08/2023","8.30","8.20","8.32","8.15","3.17M","1.84%"
"06/07/2023","8.15","8.33","8.35","8.15","4.07M","-1.33%"
"06/06/2023","8.26","8.17","8.37","8.14","9.21M","1.10%"
"06/05/2023","8.17","8.39","8.41","8.10","3.53M","-2.27%"
"06/04/2023","8.36","8.41","8.50","8.25","3.25M","-0.12%"
"06/01/2023","8.37","8.40","8.47","8.35","1.95M","0.12%"
"05/31/2023","8.36","8.51","8.64","8.33","5.76M","-1.65%"
"05/30/2023","8.50","8.30","8.57","8.30","7.40M","3.16%"
"05/29/2023","8.24","8.31","8.34","8.13","5.45M","-0.12%"
"05/28/2023","8.25","8.39","8.42","8.20","4.21M","-1.08%"
"05/25/2023","8.34","8.54","8.60","8.31","4.76M","-1.88%"
"05/24/2023","8.50","8.28","8.50","8.21","3.97M","3.66%"
"05/23/2023","8.20","8.16","8.25","8.00","4.39M","0.61%"
"05/22/2023","8.15","8.32","8.43","8.15","5.10M","-1.33%"
"05/21/2023","8.26","8.40","8.49","8.24","4.38M","-0.96%"
"05/18/2023","8.34","8.37","8.44","8.05","5.03M","0.00%"
"05/17/2023","8.34","8.71","8.81","8.25","5.40M","-4.14%"
"05/16/2023","8.70","8.90","8.90","8.52","10.06M","-2.58%"
"05/15/2023","8.93","9.20","9.32","8.89","7.48M","-2.83%"
"05/14/2023","9.19","9.43","9.45","9.01","8.12M","-1.39%"
"05/11/2023","9.32","9.69","9.69","9.32","6.60M","-2.92%"
"05/10/2023","9.60","9.41","9.61","9.27","5.72M","2.02%"
"05/09/2023","9.41","9.80","9.97","9.41","8.16M","-3.49%"
"05/08/2023","9.75","9.16","9.76","9.15","10.54M","7.26%"
"05/07/2023","9.09","9.32","9.32","9.00","8.72M","-2.36%"
"05/03/2023","9.31","9.48","9.62","9.08","9.50M","-1.17%"
"05/02/2023","9.42","9.48","9.64","9.35","9.16M","0.32%"
"05/01/2023","9.39","10.53","10.60","9.39","15.33M","-10.74%"
"04/30/2023","10.52","10.80","11.08","10.48","4.87M","-2.05%"
"04/27/2023","10.74","10.25","10.79","10.20","7.17M","5.50%"
"04/26/2023","10.18","10.15","10.28","9.94","2.89M","0.49%"
"04/19/2023","10.13","10.10","10.23","9.90","4.85M","1.40%"
"04/18/2023","9.99","9.59","10.09","9.58","6.34M","4.06%"
"04/13/2023","9.60","9.43","9.65","9.32","5.43M","2.24%"
"04/12/2023","9.39","9.51","9.60","9.30","3.37M","-1.26%"
"04/11/2023","9.51","9.28","9.61","9.23","3.46M","3.82%"
"04/10/2023","9.16","9.15","9.34","9.08","2.35M","0.99%"
"04/09/2023","9.07","9.18","9.27","8.92","1.13M","-1.31%"
"04/06/2023","9.19","9.15","9.36","9.10","2.23M","0.00%"
"04/05/2023","9.19","9.40","9.44","9.13","2.43M","-2.03%"
"04/04/2023","9.38","9.69","9.70","9.33","2.03M","-2.49%"
"04/03/2023","9.62","9.49","10.00","9.48","6.58M","3.00%"
"04/02/2023","9.34","9.06","9.45","9.06","3.03M","3.20%"
"03/30/2023","9.05","9.48","9.74","8.91","9.49M","-3.52%"
"03/29/2023","9.38","8.87","9.85","8.75","7.65M","7.32%"
"03/28/2023","8.74","8.40","8.88","8.16","5.94M","4.55%"
"03/27/2023","8.36","8.20","8.70","8.07","5.86M","3.21%"
"03/26/2023","8.10","7.48","8.40","7.46","4.88M","9.76%"
"03/23/2023","7.38","7.30","7.45","7.22","777.09K","2.07%"
"03/22/2023","7.23","7.55","7.62","7.20","2.77M","-3.60%"
"03/21/2023","7.50","7.33","7.53","7.33","1.80M","3.73%"
"03/20/2023","7.23","7.10","7.39","7.00","4.96M","2.26%"
"03/19/2023","7.07","7.21","7.34","6.93","3.51M","-2.75%"
"03/16/2023","7.27","7.00","7.71","6.75","5.97M","1.11%"
"03/15/2023","7.19","8.10","8.22","6.41","2.82M","-10.12%"
"03/14/2023","8.00","8.00","8.14","7.67","1.79M","-1.84%"
"03/13/2023","8.15","8.31","8.44","7.52","3.80M","-1.93%"
"03/12/2023","8.31","8.49","8.49","8.22","1.66M","-2.12%"
"03/09/2023","8.49","8.35","8.58","8.22","2.34M","2.78%"
"03/08/2023","8.26","8.42","8.50","8.20","3.26M","-2.82%"
"03/07/2023","8.50","8.62","8.65","8.45","3.04M","-1.28%"
"03/06/2023","8.61","8.62","8.74","8.50","2.27M","0.12%"
"03/05/2023","8.60","8.68","8.78","8.57","2.59M","-1.15%"
"03/02/2023","8.70","8.60","8.83","8.57","5.16M","2.23%"
"03/01/2023","8.51","8.50","8.55","8.41","2.61M","0.24%"
"02/28/2023","8.49","8.51","8.58","8.42","2.68M","0.24%"
"02/27/2023","8.47","8.32","8.50","8.30","3.19M","1.68%"
"02/26/2023","8.33","8.30","8.48","8.27","3.17M","0.00%"
"02/23/2023","8.33","8.34","8.39","8.17","2.40M","-0.24%"
"02/22/2023","8.35","8.54","8.65","8.15","5.36M","-0.83%"
"02/21/2023","8.42","8.30","8.46","8.21","4.18M","0.96%"
"02/20/2023","8.34","8.44","8.51","8.11","3.96M","-0.95%"
"02/19/2023","8.42","8.72","8.88","8.39","7.40M","-2.55%"
"02/16/2023","8.64","8.10","8.73","8.07","17.13M","7.33%"
"02/15/2023","8.05","7.88","8.07","7.87","5.11M","2.55%"
"02/14/2023","7.85","7.85","7.88","7.73","2.44M","1.03%"
"02/13/2023","7.77","7.96","8.07","7.73","5.09M","-1.77%"
"02/12/2023","7.91","8.03","8.19","7.89","6.11M","-1.00%"
"02/09/2023","7.99","7.69","7.99","7.60","6.21M","4.72%"
"02/08/2023","7.63","7.79","7.79","7.52","3.71M","-1.29%"
"02/07/2023","7.73","7.72","7.88","7.71","4.56M","0.78%"
"02/06/2023","7.67","7.47","7.71","7.45","4.87M","3.37%"
"02/05/2023","7.42","7.45","7.55","7.12","3.19M","0.27%"
"02/02/2023","7.40","7.50","7.60","7.33","3.53M","-1.86%"
"02/01/2023","7.54","7.43","7.63","7.26","4.20M","0.94%"
"01/31/2023","7.47","7.40","7.59","7.28","3.49M","0.95%"
"01/30/2023","7.40","7.74","7.79","7.28","7.89M","-4.15%"
"01/29/2023","7.72","7.67","7.74","7.58","4.15M","1.18%"
"01/25/2023","7.63","7.69","7.69","7.56","6.34M","1.46%"
